City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,275.23,56,69,4.36,TF,2023-07-17 03:00:00
1,grytviken,-54.2811,-36.5092,267.52,87,65,1.68,GS,2023-07-17 03:00:00
2,rmi capitol,7.0893,171.3805,303.18,71,48,6.13,MH,2023-07-17 03:00:00
3,badger,64.8,-147.5333,293.64,53,100,1.33,US,2023-07-17 03:00:00
4,waitangi,-43.9535,-176.5597,283.81,77,100,13.79,NZ,2023-07-17 03:00:00
5,blackmans bay,-43.0167,147.3167,286.78,59,23,4.32,AU,2023-07-17 03:00:00
6,san antonio de pale,-1.4014,5.6325,296.06,82,20,6.03,GQ,2023-07-17 03:00:00
7,sirjan,29.452,55.6814,300.69,18,1,3.0,IR,2023-07-17 03:00:00
8,lebu,-37.6167,-73.65,280.5,73,100,3.15,CL,2023-07-17 03:00:00
9,qaqortoq,60.7167,-46.0333,279.76,93,95,0.68,GL,2023-07-17 03:00:00
10,edinburgh of the seven seas,-37.0676,-12.3116,286.16,69,4,12.1,SH,2023-07-17 03:00:00
11,invercargill,-46.4,168.35,283.57,88,91,7.72,NZ,2023-07-17 03:00:00
12,kuragino,53.8975,92.6725,288.76,96,100,3.15,RU,2023-07-17 03:00:00
13,georgetown,5.4112,100.3354,301.06,84,47,1.97,MY,2023-07-17 03:00:00
14,utrik,11.2278,169.8474,301.23,79,68,6.97,MH,2023-07-17 03:00:00
15,mitsamiouli,-11.3847,43.2844,298.05,70,4,3.98,KM,2023-07-17 03:00:00
16,hawaiian paradise park,19.5933,-154.9731,299.95,73,63,4.13,US,2023-07-17 03:00:00
17,el calafate,-50.3408,-72.2768,269.09,71,10,2.24,AR,2023-07-17 03:00:00
18,saldanha,-33.0117,17.9442,286.44,87,99,1.06,ZA,2023-07-17 03:00:00
19,zdvinsk,54.7021,78.661,292.86,81,53,3.07,RU,2023-07-17 03:00:00
20,kristiansund,63.1115,7.732,287.31,89,94,3.85,NO,2023-07-17 03:00:00
21,iskateley,67.6803,53.1512,289.36,89,85,4.55,RU,2023-07-17 03:00:00
22,stanley,54.868,-1.6985,283.59,86,18,3.84,GB,2023-07-17 03:00:00
23,constantia,44.1833,28.65,294.83,67,0,2.22,RO,2023-07-17 03:00:00
24,hermanus,-34.4187,19.2345,287.18,80,91,3.2,ZA,2023-07-17 03:00:00
25,kasganj,27.8167,78.65,306.44,60,88,1.17,IN,2023-07-17 03:00:00
26,adamstown,-25.066,-130.1015,294.37,79,100,3.8,PN,2023-07-17 03:00:00
27,bredasdorp,-34.5322,20.0403,285.7,80,88,2.77,ZA,2023-07-17 03:00:00
28,keflavik,64.0049,-22.5624,282.33,67,3,9.15,IS,2023-07-17 03:00:00
29,isafjordur,66.0755,-23.124,281.08,67,15,1.68,IS,2023-07-17 03:00:00
30,thompson,55.7435,-97.8558,290.51,74,100,2.0,CA,2023-07-17 03:00:00
31,punta arenas,-53.15,-70.9167,276.82,84,100,6.15,CL,2023-07-17 03:00:00
32,belmonte,-15.8631,-38.8828,295.68,88,28,1.33,BR,2023-07-17 03:00:00
33,tiksi,71.6872,128.8694,280.54,85,100,4.99,RU,2023-07-17 03:00:00
34,hamilton,39.1834,-84.5333,297.77,73,0,2.06,US,2023-07-17 03:00:00
35,morehead city,34.7229,-76.726,301.38,87,25,3.29,US,2023-07-17 03:00:00
36,olonkinbyen,70.9221,-8.7187,277.28,96,100,9.79,SJ,2023-07-17 03:00:00
37,puerto ayora,-0.7393,-90.3518,298.39,92,60,4.61,EC,2023-07-17 03:00:00
38,lihue,21.9789,-159.3672,299.87,68,26,6.08,US,2023-07-17 03:00:00
39,mianyang,31.4593,104.7542,302.32,76,3,1.54,CN,2023-07-17 03:00:00
40,saint-francois,46.4154,3.9054,286.95,83,3,1.23,FR,2023-07-17 03:00:00
41,wailua homesteads,22.0669,-159.378,299.13,73,25,5.63,US,2023-07-17 03:00:00
42,lazaro cardenas,17.9583,-102.2,302.46,83,7,2.03,MX,2023-07-17 03:00:00
43,nova sintra,14.8667,-24.7167,295.93,86,89,4.83,CV,2023-07-17 03:00:00
44,vodnyy,63.5046,53.4095,293.37,61,50,2.5,RU,2023-07-17 03:00:00
45,albany,42.6001,-73.9662,294.52,95,100,1.59,US,2023-07-17 03:00:00
46,kalevala,65.2,31.1667,288.19,75,100,2.64,RU,2023-07-17 03:00:00
47,kodiak,57.79,-152.4072,288.15,71,100,3.88,US,2023-07-17 03:00:00
48,port elizabeth,-33.918,25.5701,287.48,86,7,2.23,ZA,2023-07-17 03:00:00
49,teknaf,20.8624,92.3058,301.45,89,98,5.12,BD,2023-07-17 03:00:00
50,mil'kovo,55.6078,37.7956,289.06,81,17,2.05,RU,2023-07-17 03:00:00
51,vorkuta,67.5,64.0,287.73,93,93,4.18,RU,2023-07-17 03:00:00
52,ojai,34.4481,-119.2429,299.83,61,51,0.62,US,2023-07-17 03:00:00
53,west island,-12.1568,96.8225,298.75,63,100,9.81,CC,2023-07-17 03:00:00
54,college,64.8569,-147.8028,292.94,57,83,1.3,US,2023-07-17 03:00:00
55,afaahiti,-17.75,-149.2833,299.8,59,1,1.42,PF,2023-07-17 03:00:00
56,xinyuan,37.3,99.0,287.45,70,11,2.21,CN,2023-07-17 03:00:00
57,port alfred,-33.5906,26.891,289.45,52,66,2.45,ZA,2023-07-17 03:00:00
58,port saint john's,-31.6229,29.5448,289.39,57,29,2.93,ZA,2023-07-17 03:00:00
59,ryotsu-minato,38.0833,138.4333,301.65,74,11,3.79,JP,2023-07-17 03:00:00
60,fortuna,40.5982,-124.1573,289.96,85,73,2.99,US,2023-07-17 03:00:00
61,aloja,57.7669,24.8825,288.38,98,82,2.17,LV,2023-07-17 03:00:00
62,mazatlan,23.2167,-106.4167,303.91,82,23,3.64,MX,2023-07-17 03:00:00
63,baukau,51.5526,7.2042,290.66,71,83,2.84,DE,2023-07-17 03:00:00
64,kaka,37.3482,59.6143,304.25,35,1,5.85,TM,2023-07-17 03:00:00
65,fort st. john,56.2499,-120.8529,292.81,63,100,0.76,CA,2023-07-17 03:00:00
66,saipan,15.1355,145.701,302.87,92,17,6.08,MP,2023-07-17 03:00:00
67,laojunmiao,39.8333,97.7333,301.28,20,0,6.62,CN,2023-07-17 03:00:00
68,rongelap,11.1635,166.8941,301.6,78,97,6.41,MH,2023-07-17 03:00:00
69,bilibino,68.0546,166.4372,300.9,30,42,5.12,RU,2023-07-17 03:00:00
70,jiayuguan,39.8167,98.3,304.61,17,0,5.07,CN,2023-07-17 03:00:00
71,yellowknife,62.456,-114.3525,296.22,44,54,4.23,CA,2023-07-17 03:00:00
72,kargasok,59.0556,80.8572,291.71,71,33,2.52,RU,2023-07-17 03:00:00
73,northam,51.0333,-4.2167,286.8,87,8,4.97,GB,2023-07-17 03:00:00
74,dryden,49.7833,-92.7503,287.09,90,100,3.59,CA,2023-07-17 03:00:00
75,chonchi,-42.6128,-73.8092,274.63,93,6,0.92,CL,2023-07-17 03:00:00
76,nagqu,31.5,92.0,283.12,67,9,2.15,CN,2023-07-17 03:00:00
77,la passe,45.5549,-0.8967,289.04,79,22,1.28,FR,2023-07-17 03:00:00
78,petrovskaya,45.4314,37.955,292.13,73,0,1.2,RU,2023-07-17 03:00:00
79,atafu village,-8.5421,-172.5159,301.88,74,88,6.84,TK,2023-07-17 03:00:00
80,codrington,-38.2667,141.9667,286.11,75,1,5.76,AU,2023-07-17 03:00:00
81,santa marta,11.2408,-74.199,300.69,80,83,5.65,CO,2023-07-17 03:00:00
82,turtas,58.9417,69.1325,292.03,75,55,2.81,RU,2023-07-17 03:00:00
83,huancavelica,-12.7667,-74.9833,275.81,79,22,1.09,PE,2023-07-17 03:00:00
84,chagoda,59.164,35.3285,290.09,80,30,1.58,RU,2023-07-17 03:00:00
85,san carlos de bariloche,-41.1456,-71.3082,273.98,60,79,1.56,AR,2023-07-17 03:00:00
86,nadym,65.5333,72.5167,292.66,66,78,6.74,RU,2023-07-17 03:00:00
87,phan rang-thap cham,11.5667,108.9833,307.43,59,90,6.44,VN,2023-07-17 03:00:00
88,rosarito,32.3333,-117.0333,296.35,74,97,3.34,MX,2023-07-17 03:00:00
89,coahuayana de hidalgo,18.7,-103.6583,303.06,75,43,0.81,MX,2023-07-17 03:00:00
90,saint-philippe,-21.3585,55.7679,295.06,85,43,5.78,RE,2023-07-17 03:00:00
91,iqaluit,63.7506,-68.5145,278.64,99,100,2.49,CA,2023-07-17 03:00:00
92,bazarak,35.3129,69.5152,295.8,35,0,3.68,AF,2023-07-17 03:00:00
93,santiago de cao,-7.9589,-79.2392,294.93,87,73,5.97,PE,2023-07-17 03:00:00
94,daudnagar,25.0333,84.4,304.66,74,95,5.57,IN,2023-07-17 03:00:00
95,nar'yan-mar,67.6713,53.087,289.42,89,84,4.59,RU,2023-07-17 03:00:00
96,gizo,-8.103,156.8419,300.82,77,77,2.82,SB,2023-07-17 03:00:00
97,aasiaat,68.7098,-52.8699,275.79,95,100,2.49,GL,2023-07-17 03:00:00
98,pervomayskoye,43.919,46.7102,292.77,75,76,6.23,RU,2023-07-17 03:00:00
99,hadibu,12.65,54.0333,298.29,81,79,10.4,YE,2023-07-17 03:00:00
100,avarua,-21.2078,-159.775,296.1,65,60,7.13,CK,2023-07-17 03:00:00
101,berdigestyakh,62.0989,126.6992,292.11,43,35,3.03,RU,2023-07-17 03:00:00
102,thala,35.5724,8.6703,300.77,15,0,1.36,TN,2023-07-17 03:00:00
103,alofi,-19.0595,-169.9187,294.21,95,100,8.51,NU,2023-07-17 03:00:00
104,xining,36.6167,101.7667,293.47,61,81,0.7,CN,2023-07-17 03:00:00
105,weno,7.4515,151.8468,300.16,90,100,7.02,FM,2023-07-17 03:00:00
106,ribeira grande,38.5167,-28.7,293.14,75,70,3.37,PT,2023-07-17 03:00:00
107,enewetak,11.3474,162.3373,301.51,78,98,6.2,MH,2023-07-17 03:00:00
108,ilulissat,69.2167,-51.1,277.35,94,93,1.72,GL,2023-07-17 03:00:00
109,gadzhiyevo,69.2551,33.3362,288.72,71,74,3.95,RU,2023-07-17 03:00:00
110,korla,41.7597,86.1469,309.13,18,39,7.26,CN,2023-07-17 03:00:00
111,remire-montjoly,4.9167,-52.2667,299.81,94,4,5.58,GF,2023-07-17 03:00:00
112,egilsstadir,65.2653,-14.3948,280.5,81,83,3.27,IS,2023-07-17 03:00:00
113,porbandar,21.6422,69.6093,301.36,82,80,6.69,IN,2023-07-17 03:00:00
114,obo,5.3998,26.4869,293.75,87,17,0.84,CF,2023-07-17 03:00:00
115,nuuk,64.1835,-51.7216,281.58,94,100,6.64,GL,2023-07-17 03:00:00
116,zhangye,38.9342,100.4517,303.75,27,0,1.82,CN,2023-07-17 03:00:00
117,ramachandrapuram,16.85,82.0167,300.24,75,100,5.12,IN,2023-07-17 03:00:00
118,fonte boa,-2.4959,-66.2662,296.54,98,91,0.39,BR,2023-07-17 03:00:00
119,muromtsevo,56.3724,75.2418,292.22,71,94,2.02,RU,2023-07-17 03:00:00
120,el granada,37.5027,-122.4694,291.05,79,33,2.46,US,2023-07-17 03:00:00
121,kirakira,-10.4544,161.9205,299.62,90,86,3.47,SB,2023-07-17 03:00:00
122,sao tome,0.3365,6.7273,297.08,83,77,3.12,ST,2023-07-17 03:00:00
123,ushuaia,-54.8,-68.3,274.41,81,60,2.39,AR,2023-07-17 03:00:00
124,bethel,41.3712,-73.414,295.95,92,100,0.75,US,2023-07-17 03:00:00
125,thunder bay,48.4001,-89.3168,288.05,78,74,2.14,CA,2023-07-17 03:00:00
126,kodinar,20.7903,70.7031,301.01,83,76,4.82,IN,2023-07-17 03:00:00
127,island harbour,50.724,-1.2758,288.16,86,21,7.08,GB,2023-07-17 03:00:00
128,luderitz,-26.6481,15.1594,290.47,44,1,2.87,NA,2023-07-17 03:00:00
129,sitka,57.0531,-135.33,287.91,91,100,0.46,US,2023-07-17 03:00:00
130,la'ie,21.6477,-157.9253,300.51,71,13,6.27,US,2023-07-17 03:00:00
131,buka,40.8108,69.1986,303.33,25,1,2.82,UZ,2023-07-17 03:00:00
132,kapuskasing,49.4169,-82.4331,289.41,79,82,0.63,CA,2023-07-17 03:00:00
133,puerto natales,-51.7236,-72.4875,272.59,90,93,2.07,CL,2023-07-17 03:00:00
134,blackwater,-23.5833,148.8833,293.63,65,89,5.58,AU,2023-07-17 03:00:00
135,itoman,26.1247,127.6694,303.32,75,83,10.51,JP,2023-07-17 03:00:00
136,udachny,66.4167,112.4,285.84,59,100,5.35,RU,2023-07-17 03:00:00
137,fisterra,42.9049,-9.2629,289.01,80,3,5.46,ES,2023-07-17 03:00:00
138,colonia,50.9333,6.95,290.09,63,20,1.11,DE,2023-07-17 03:00:00
139,flying fish cove,-10.4217,105.6791,298.09,80,57,8.29,CX,2023-07-17 03:00:00
140,angaur state,6.906,134.13,300.55,81,100,2.81,PW,2023-07-17 03:00:00
141,cambria,35.5641,-121.0808,299.23,69,88,0.8,US,2023-07-17 03:00:00
142,santa ines,-3.6667,-45.38,296.38,74,48,0.75,BR,2023-07-17 03:00:00
143,kalmunai,7.4167,81.8167,302.57,75,93,2.84,LK,2023-07-17 03:00:00
144,vanimo,-2.6741,141.3028,301.17,83,90,1.12,PG,2023-07-17 03:00:00
145,talnakh,69.4865,88.3972,283.08,71,89,4.32,RU,2023-07-17 03:00:00
146,eastham,41.8301,-69.9739,296.11,88,100,5.64,US,2023-07-17 03:00:00
147,coquimbo,-29.9533,-71.3436,286.74,93,51,1.3,CL,2023-07-17 03:00:00
148,hafar al-batin,28.4328,45.9708,307.02,10,0,3.93,SA,2023-07-17 03:00:00
149,petropavlovsk-kamchatsky,53.0452,158.6483,291.01,75,74,1.68,RU,2023-07-17 03:00:00
150,inhambane,-23.865,35.3833,289.92,76,8,1.76,MZ,2023-07-17 03:00:00
151,namibe,-15.1961,12.1522,293.26,67,0,1.69,AO,2023-07-17 03:00:00
152,wynyard,-41.0,145.7167,286.72,73,70,5.5,AU,2023-07-17 03:00:00
153,aral,40.5156,81.2636,308.4,20,83,5.16,CN,2023-07-17 03:00:00
154,puerto baquerizo moreno,-0.9,-89.6,298.17,85,59,5.56,EC,2023-07-17 03:00:00
155,kampong speu,11.5,104.3333,300.41,79,100,5.75,KH,2023-07-17 03:00:00
156,maceio,-9.6658,-35.7353,297.32,90,7,3.16,BR,2023-07-17 03:00:00
157,longyearbyen,78.2186,15.6401,281.89,73,10,3.61,SJ,2023-07-17 03:00:00
158,sogndal,61.2283,7.1003,287.03,97,100,2.1,NO,2023-07-17 03:00:00
159,walvis bay,-22.9575,14.5053,293.73,28,0,4.62,NA,2023-07-17 03:00:00
160,winnemucca,40.973,-117.7357,309.94,6,100,2.76,US,2023-07-17 03:00:00
161,st. john's,47.5649,-52.7093,292.12,94,81,4.04,CA,2023-07-17 03:00:00
162,carqueiranne,43.0953,6.073,297.52,85,9,2.65,FR,2023-07-17 03:00:00
163,shingu,33.7333,135.9833,305.92,58,16,1.0,JP,2023-07-17 03:00:00
164,nola,40.922,14.5329,300.44,60,0,0.88,IT,2023-07-17 03:00:00
165,port macquarie,-31.4333,152.9167,290.83,77,68,2.28,AU,2023-07-17 03:00:00
166,east london,-33.0153,27.9116,289.71,45,62,2.19,ZA,2023-07-17 03:00:00
167,ust'-ilimsk,58.0006,102.6619,295.73,74,96,3.65,RU,2023-07-17 03:00:00
168,klyuchi,52.2667,79.1667,294.96,76,11,3.47,RU,2023-07-17 03:00:00
169,quesada,10.3238,-84.4271,296.92,99,100,1.36,CR,2023-07-17 03:00:00
170,yung shue wan,22.2333,114.1167,302.39,80,100,18.44,HK,2023-07-17 03:00:00
171,conduaga,8.862,117.4893,302.68,77,92,5.5,PH,2023-07-17 03:00:00
172,heroica matamoros,25.8833,-97.5,303.6,68,7,5.05,MX,2023-07-17 03:00:00
173,mirandela,41.4874,-7.187,290.13,56,73,1.87,PT,2023-07-17 03:00:00
174,tanjung pandan,-2.75,107.65,303.56,79,26,4.73,ID,2023-07-17 03:00:00
175,nuku'alofa,-21.1333,-175.2,296.63,68,40,7.64,TO,2023-07-17 03:00:00
176,mount gambier,-37.8333,140.7667,285.94,72,9,4.61,AU,2023-07-17 03:00:00
177,kaga bandoro,6.9896,19.1874,294.84,95,61,0.43,CF,2023-07-17 03:00:00
178,benin city,6.335,5.6275,296.57,98,97,1.0,NG,2023-07-17 03:00:00
179,tarawa,1.419,172.984,303.44,71,38,3.5,KI,2023-07-17 03:00:00
180,pangai,-19.8,-174.35,296.06,78,73,9.04,TO,2023-07-17 03:00:00
181,port-vila,-17.7338,168.3219,297.69,73,78,9.74,VU,2023-07-17 03:00:00
182,lesnoy,57.6198,63.0784,291.68,83,72,4.02,RU,2023-07-17 03:00:00
183,goundi,9.3627,17.366,297.8,75,5,1.33,TD,2023-07-17 03:00:00
184,arteche,12.2645,125.4048,304.95,67,71,1.02,PH,2023-07-17 03:00:00
185,tukrah,32.5341,20.5791,299.34,79,0,4.64,LY,2023-07-17 03:00:00
186,lompoc,34.6391,-120.4579,293.65,79,28,2.35,US,2023-07-17 03:00:00
187,newman,37.3138,-121.0208,311.95,14,100,3.01,US,2023-07-17 03:00:00
